frame_gt,timestamp,phase,gt_x_px,gt_y_px,gt_x_norm,gt_y_norm,frame_det,raw_x,raw_y,refined_x,refined_y,frame_adjusted,error_px
2390,39.833333333333336,TASK_2A_HORIZONTAL_LTR,1258.8480801335559,540.0,0.655650041736227,0.5,1730.0,993.0,586.0,993.0,586.0,2390.0,269.79844645716094
3324,55.4,TASK_2B_HORIZONTAL_RTL,731.4691151919866,540.0,0.3809734974958264,0.5,2664.0,994.0,179.0,994.0,179.0,3324.0,446.3669627986354
4370,72.83333333333333,TASK_3A_VERTICAL_TTB,960.0,762.0200333889816,0.5,0.7055741049897978,3710.0,890.0,478.0,890.0,478.0,4370.0,292.5190239390905
4457,74.28333333333333,TASK_3A_VERTICAL_TTB,960.0,875.3088480801335,0.5,0.8104711556297532,3797.0,633.0,238.0,633.0,238.0,4457.0,716.3041029068777
4459,74.31666666666666,TASK_3A_VERTICAL_TTB,960.0,877.9131886477462,0.5,0.8128825820812465,3799.0,885.0,236.0,885.0,236.0,4459.0,646.2797705018446
4911,81.85,TASK_3B_VERTICAL_BTT,960.0,863.5893155258764,0.5,0.7996197365980336,4251.0,1024.0,508.0,1024.0,508.0,4911.0,361.3028664654645
4997,83.28333333333333,TASK_3B_VERTICAL_BTT,960.0,751.6026711185308,0.5,0.6959283991838248,4337.0,1645.0,250.0,1645.0,250.0,4997.0,849.0172198920615
5177,86.28333333333333,TASK_3B_VERTICAL_BTT,960.0,517.212020033389,0.5,0.4789000185494342,4517.0,1013.0,228.0,1013.0,228.0,5177.0,294.0282172373825
5267,87.78333333333333,TASK_3B_VERTICAL_BTT,960.0,400.016694490818,0.5,0.37038582823223887,4607.0,1625.0,580.0,1625.0,580.0,5267.0,688.9259686366972
