frame,timestamp,phase,gt_x_px,gt_y_px,gt_x_norm,gt_y_norm
104,1.7333333333333334,TUTORIAL_INSTRUCTION,,,,
105,1.75,TUTORIAL_INSTRUCTION,,,,
106,1.7666666666666666,TUTORIAL_INSTRUCTION,,,,
107,1.7833333333333334,TUTORIAL_INSTRUCTION,,,,
108,1.8,TUTORIAL_INSTRUCTION,,,,
109,1.8166666666666667,TUTORIAL_INSTRUCTION,,,,
110,1.8333333333333333,TUTORIAL_INSTRUCTION,,,,
111,1.85,TUTORIAL_INSTRUCTION,,,,
112,1.8666666666666667,TUTORIAL_INSTRUCTION,,,,
113,1.8833333333333333,TUTORIAL_INSTRUCTION,,,,
114,1.9,TUTORIAL_INSTRUCTION,,,,
115,1.9166666666666667,TUTORIAL_INSTRUCTION,,,,
116,1.9333333333333333,TUTORIAL_INSTRUCTION,,,,
117,1.95,TUTORIAL_INSTRUCTION,,,,
118,1.9666666666666666,TUTORIAL_INSTRUCTION,,,,
119,1.9833333333333334,TUTORIAL_INSTRUCTION,,,,
120,2.0,TUTORIAL_INSTRUCTION,,,,
121,2.0166666666666666,TUTORIAL_INSTRUCTION,,,,
122,2.033333333333333,TUTORIAL_INSTRUCTION,,,,
123,2.05,TUTORIAL_INSTRUCTION,,,,
124,2.066666666666667,TUTORIAL_INSTRUCTION,,,,
125,2.0833333333333335,TUTORIAL_INSTRUCTION,,,,
126,2.1,TUTORIAL_INSTRUCTION,,,,
127,2.1166666666666667,TUTORIAL_INSTRUCTION,,,,
128,2.1333333333333333,TUTORIAL_INSTRUCTION,,,,
129,2.15,TUTORIAL_INSTRUCTION,,,,
130,2.1666666666666665,TUTORIAL_INSTRUCTION,,,,
131,2.183333333333333,TUTORIAL_INSTRUCTION,,,,
132,2.2,TUTORIAL_INSTRUCTION,,,,
133,2.216666666666667,TUTORIAL_INSTRUCTION,,,,
134,2.2333333333333334,TUTORIAL_INSTRUCTION,,,,
135,2.25,TUTORIAL_INSTRUCTION,,,,
136,2.2666666666666666,TUTORIAL_INSTRUCTION,,,,
